Name,Image,National Number,Type,Species,Height,Weight,Abilities,Local Number,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate,Egg Groups,Gender,Egg cycles,HP,Min HP,Max HP,Attack,Min Attack,Max Attack,Defense,Min Defense,Max Defense,Sp. Atk,Min Sp. Atk,Max Sp. Atk,Sp. Def,Min Sp. Def,Max Sp. Def,Speed,Min Speed,Max Speed,Total,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Blastoise,https://img.pokemondb.net/artwork/blastoise.jpg,0009,Water,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),1. TorrentRain Dish (hidden ability),0009 (Red/Blue/Yellow)0234 (Gold/Silver/Crystal)0009 (FireRed/LeafGreen)0239 (HeartGold/SoulSilver)0088 (X/Y — Central Kalos)0009 (Let's Go Pikachu/Let's Go Eevee)0073 (The Isle of Armor),3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",79,268,362,83,153,291,100,184,328,85,157,295,105,193,339,78,144,280,530,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Mega Blastoise,https://img.pokemondb.net/artwork/blastoise-mega.jpg,0009,Water,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),1. TorrentRain Dish (hidden ability),0009 (Red/Blue/Yellow)0234 (Gold/Silver/Crystal)0009 (FireRed/LeafGreen)0239 (HeartGold/SoulSilver)0088 (X/Y — Central Kalos)0009 (Let's Go Pikachu/Let's Go Eevee)0073 (The Isle of Armor),3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",79,268,362,83,153,291,100,184,328,85,157,295,105,193,339,78,144,280,530,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Caterpie,https://img.pokemondb.net/artwork/caterpie.jpg,0010,Bug,Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs),1. Shield DustRun Away (hidden ability),0010 (Red/Blue/Yellow)0024 (Gold/Silver/Crystal)0010 (FireRed/LeafGreen)0024 (HeartGold/SoulSilver)0023 (X/Y — Central Kalos)0017 (Sun/Moon — Alola dex)0017 (U.Sun/U.Moon — Alola dex)0010 (Let's Go Pikachu/Let's Go Eevee)0013 (Sword/Shield),1 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),39,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",45,200,294,30,58,174,35,67,185,20,40,152,20,40,152,45,85,207,195,100,200,100,100,50,100,50,100,50,200,100,100,200,100,100,100,100,100
Metapod,https://img.pokemondb.net/artwork/metapod.jpg,0011,Bug,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),1. Shed Skin,0011 (Red/Blue/Yellow)0025 (Gold/Silver/Crystal)0011 (FireRed/LeafGreen)0025 (HeartGold/SoulSilver)0024 (X/Y — Central Kalos)0018 (Sun/Moon — Alola dex)0018 (U.Sun/U.Moon — Alola dex)0011 (Let's Go Pikachu/Let's Go Eevee)0014 (Sword/Shield),2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",50,210,304,20,40,152,55,103,229,25,49,163,25,49,163,30,58,174,205,100,200,100,100,50,100,50,100,50,200,100,100,200,100,100,100,100,100
Butterfree,https://img.pokemondb.net/artwork/butterfree.jpg,0012,Bug Flying,Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),1. Compound EyesTinted Lens (hidden ability),0012 (Red/Blue/Yellow)0026 (Gold/Silver/Crystal)0012 (FireRed/LeafGreen)0026 (HeartGold/SoulSilver)0025 (X/Y — Central Kalos)0019 (Sun/Moon — Alola dex)0019 (U.Sun/U.Moon — Alola dex)0012 (Let's Go Pikachu/Let's Go Eevee)0015 (Sword/Shield),"2 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,45,85,207,50,94,218,90,166,306,80,148,284,70,130,262,395,100,200,100,200,25,200,25,100,0,200,100,50,400,100,100,100,100,100
Weedle,https://img.pokemondb.net/artwork/weedle.jpg,0013,Bug Poison,Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),1. Shield DustRun Away (hidden ability),0013 (Red/Blue/Yellow)0027 (Gold/Silver/Crystal)0013 (FireRed/LeafGreen)0027 (HeartGold/SoulSilver)0026 (X/Y — Central Kalos)0013 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),39,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,35,67,185,30,58,174,20,40,152,20,40,152,50,94,218,195,100,200,100,100,25,100,25,50,100,200,200,50,200,100,100,100,100,50
Kakuna,https://img.pokemondb.net/artwork/kakuna.jpg,0014,Bug Poison,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),1. Shed Skin,0014 (Red/Blue/Yellow)0028 (Gold/Silver/Crystal)0014 (FireRed/LeafGreen)0028 (HeartGold/SoulSilver)0027 (X/Y — Central Kalos)0014 (Let's Go Pikachu/Let's Go Eevee),2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",45,200,294,25,49,163,50,94,218,25,49,163,25,49,163,35,67,185,205,100,200,100,100,25,100,25,50,100,200,200,50,200,100,100,100,100,50
Beedrill,https://img.pokemondb.net/artwork/beedrill.jpg,0015,Bug Poison,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. SwarmSniper (hidden ability),0015 (Red/Blue/Yellow)0029 (Gold/Silver/Crystal)0015 (FireRed/LeafGreen)0029 (HeartGold/SoulSilver)0028 (X/Y — Central Kalos)0015 (Let's Go Pikachu/Let's Go Eevee),"2 Attack, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,40,76,196,45,85,207,80,148,284,75,139,273,395,100,200,100,100,25,100,25,50,100,200,200,50,200,100,100,100,100,50
Mega Beedrill,https://img.pokemondb.net/artwork/beedrill-mega.jpg,0015,Bug Poison,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. SwarmSniper (hidden ability),0015 (Red/Blue/Yellow)0029 (Gold/Silver/Crystal)0015 (FireRed/LeafGreen)0029 (HeartGold/SoulSilver)0028 (X/Y — Central Kalos)0015 (Let's Go Pikachu/Let's Go Eevee),"2 Attack, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,40,76,196,45,85,207,80,148,284,75,139,273,395,100,200,100,100,25,100,25,50,100,200,200,50,200,100,100,100,100,50
Pidgey,https://img.pokemondb.net/artwork/pidgey.jpg,0016,Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),0016 (Red/Blue/Yellow)0010 (Gold/Silver/Crystal)0016 (FireRed/LeafGreen)0010 (HeartGold/SoulSilver)0017 (X/Y — Central Kalos)0016 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),50,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,45,85,207,40,76,196,35,67,185,35,67,185,56,105,232,251,100,100,100,200,50,200,100,100,0,100,100,50,200,0,100,100,100,100
Pidgeotto,https://img.pokemondb.net/artwork/pidgeotto.jpg,0017,Normal Flying,Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),0017 (Red/Blue/Yellow)0011 (Gold/Silver/Crystal)0017 (FireRed/LeafGreen)0011 (HeartGold/SoulSilver)0018 (X/Y — Central Kalos)0017 (Let's Go Pikachu/Let's Go Eevee),2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),122,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",63,236,330,60,112,240,55,103,229,50,94,218,50,94,218,71,132,265,349,100,100,100,200,50,200,100,100,0,100,100,50,200,0,100,100,100,100
Pidgeot,https://img.pokemondb.net/artwork/pidgeot.jpg,0018,Normal Flying,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),0018 (Red/Blue/Yellow)0012 (Gold/Silver/Crystal)0018 (FireRed/LeafGreen)0012 (HeartGold/SoulSilver)0019 (X/Y — Central Kalos)0018 (Let's Go Pikachu/Let's Go Eevee),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",83,276,370,80,148,284,75,139,273,70,130,262,70,130,262,101,186,331,479,100,100,100,200,50,200,100,100,0,100,100,50,200,0,100,100,100,100
Mega Pidgeot,https://img.pokemondb.net/artwork/pidgeot-mega.jpg,0018,Normal Flying,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),0018 (Red/Blue/Yellow)0012 (Gold/Silver/Crystal)0018 (FireRed/LeafGreen)0012 (HeartGold/SoulSilver)0019 (X/Y — Central Kalos)0018 (Let's Go Pikachu/Let's Go Eevee),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",83,276,370,80,148,284,75,139,273,70,130,262,70,130,262,101,186,331,479,100,100,100,200,50,200,100,100,0,100,100,50,200,0,100,100,100,100
Rattata,https://img.pokemondb.net/artwork/rattata.jpg,0019,Normal,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),1. Run Away2. GutsHustle (hidden ability),0019 (Red/Blue/Yellow)0017 (Gold/Silver/Crystal)0019 (FireRed/LeafGreen)0017 (HeartGold/SoulSilver)0059 (Black 2/White 2)0015 (Sun/Moon — Alola dex)0015 (U.Sun/U.Moon — Alola dex)0019 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),51,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",30,170,264,56,105,232,35,67,185,25,49,163,35,67,185,72,134,267,253,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Alolan Rattata,https://img.pokemondb.net/artwork/rattata-alolan.jpg,0019,Normal,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),1. Run Away2. GutsHustle (hidden ability),0019 (Red/Blue/Yellow)0017 (Gold/Silver/Crystal)0019 (FireRed/LeafGreen)0017 (HeartGold/SoulSilver)0059 (Black 2/White 2)0015 (Sun/Moon — Alola dex)0015 (U.Sun/U.Moon — Alola dex)0019 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),51,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",30,170,264,56,105,232,35,67,185,25,49,163,35,67,185,72,134,267,253,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Raticate,https://img.pokemondb.net/artwork/raticate.jpg,0020,Normal,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),1. Run Away2. GutsHustle (hidden ability),0020 (Red/Blue/Yellow)0018 (Gold/Silver/Crystal)0020 (FireRed/LeafGreen)0018 (HeartGold/SoulSilver)0060 (Black 2/White 2)0016 (Sun/Moon — Alola dex)0016 (U.Sun/U.Moon — Alola dex)0020 (Let's Go Pikachu/Let's Go Eevee),2 Speed,"127 (16.6% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",55,220,314,81,150,287,60,112,240,50,94,218,70,130,262,97,179,322,413,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Alolan Raticate,https://img.pokemondb.net/artwork/raticate-alolan.jpg,0020,Normal,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),1. Run Away2. GutsHustle (hidden ability),0020 (Red/Blue/Yellow)0018 (Gold/Silver/Crystal)0020 (FireRed/LeafGreen)0018 (HeartGold/SoulSilver)0060 (Black 2/White 2)0016 (Sun/Moon — Alola dex)0016 (U.Sun/U.Moon — Alola dex)0020 (Let's Go Pikachu/Let's Go Eevee),2 Speed,"127 (16.6% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",55,220,314,81,150,287,60,112,240,50,94,218,70,130,262,97,179,322,413,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Spearow,https://img.pokemondb.net/artwork/spearow.jpg,0021,Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),1. Keen EyeSniper (hidden ability),0021 (Red/Blue/Yellow)0013 (Gold/Silver/Crystal)0021 (FireRed/LeafGreen)0013 (HeartGold/SoulSilver)0109 (X/Y — Mountain Kalos)0073 (Sun/Moon — Alola dex)0087 (U.Sun/U.Moon — Alola dex)0021 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,60,112,240,30,58,174,31,60,177,31,60,177,70,130,262,262,100,100,100,200,50,200,100,100,0,100,100,50,200,0,100,100,100,100
Fearow,https://img.pokemondb.net/artwork/fearow.jpg,0022,Normal Flying,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),1. Keen EyeSniper (hidden ability),0022 (Red/Blue/Yellow)0014 (Gold/Silver/Crystal)0022 (FireRed/LeafGreen)0014 (HeartGold/SoulSilver)0110 (X/Y — Mountain Kalos)0074 (Sun/Moon — Alola dex)0088 (U.Sun/U.Moon — Alola dex)0022 (Let's Go Pikachu/Let's Go Eevee),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),155,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,65,121,251,61,114,243,61,114,243,100,184,328,442,100,100,100,200,50,200,100,100,0,100,100,50,200,0,100,100,100,100
Ekans,https://img.pokemondb.net/artwork/ekans.jpg,0023,Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),0023 (Red/Blue/Yellow)0050 (Gold/Silver/Crystal)0023 (FireRed/LeafGreen)0050 (HeartGold/SoulSilver)0037 (X/Y — Mountain Kalos)0061 (U.Sun/U.Moon — Alola dex)0023 (Let's Go Pikachu/Let's Go Eevee),1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,60,112,240,44,83,205,40,76,196,54,101,227,55,103,229,288,100,100,100,100,50,100,50,50,200,100,200,50,100,100,100,100,100,50
Arbok,https://img.pokemondb.net/artwork/arbok.jpg,0024,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),0024 (Red/Blue/Yellow)0051 (Gold/Silver/Crystal)0024 (FireRed/LeafGreen)0051 (HeartGold/SoulSilver)0038 (X/Y — Mountain Kalos)0062 (U.Sun/U.Moon — Alola dex)0024 (Let's Go Pikachu/Let's Go Eevee),2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,448,100,100,100,100,50,100,50,50,200,100,200,50,100,100,100,100,100,50
Pikachu,https://img.pokemondb.net/artwork/pikachu.jpg,0025,Electric,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),1. StaticLightning Rod (hidden ability),0025 (Yellow/Red/Blue)0022 (Gold/Silver/Crystal)0156 (Ruby/Sapphire/Emerald)0025 (FireRed/LeafGreen)0104 (Diamond/Pearl)0104 (Platinum)0022 (HeartGold/SoulSilver)0036 (X/Y — Central Kalos)0163 (Omega Ruby/Alpha Sapphire)0025 (Sun/Moon — Alola dex)0032 (U.Sun/U.Moon — Alola dex)0025 (Let's Go Pikachu/Let's Go Eevee)0194 (Sword/Shield)0104 (Brilliant Diamond/Shining Pearl)0056 (Legends: Arceus)0074 (Scarlet/Violet)0085 (The Isle of Armor),2 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),112,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)",35,180,274,55,103,229,40,76,196,50,94,218,50,94,218,90,166,306,320,100,100,100,50,100,100,100,100,200,50,100,100,100,100,100,100,50,100
Partner Pikachu,https://img.pokemondb.net/artwork/pikachu-lets-go.jpg,0025,Electric,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),1. StaticLightning Rod (hidden ability),0025 (Yellow/Red/Blue)0022 (Gold/Silver/Crystal)0156 (Ruby/Sapphire/Emerald)0025 (FireRed/LeafGreen)0104 (Diamond/Pearl)0104 (Platinum)0022 (HeartGold/SoulSilver)0036 (X/Y — Central Kalos)0163 (Omega Ruby/Alpha Sapphire)0025 (Sun/Moon — Alola dex)0032 (U.Sun/U.Moon — Alola dex)0025 (Let's Go Pikachu/Let's Go Eevee)0194 (Sword/Shield)0104 (Brilliant Diamond/Shining Pearl)0056 (Legends: Arceus)0074 (Scarlet/Violet)0085 (The Isle of Armor),2 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),112,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)",35,180,274,55,103,229,40,76,196,50,94,218,50,94,218,90,166,306,320,100,100,100,50,100,100,100,100,200,50,100,100,100,100,100,100,50,100
